taxonID,threatStatus,appendixCITES
380531,EN,I
380529,EN,I
380289,NT,I
380548,LC,I
380257,EN,I
380617,VU,I
380614,VU,I
380530,NULL,I
380295,NULL,I
380291,NT,I
380615,EN,I
380541,VU,I
380294,VU,I
380551,VU,I
380293,EN,I
380616,CR,I
380618,VU,I
380552,VU,I
380248,EN,I
380532,LC,I
380104,VU,I
385002,EN,I
395227,EN,I
385001,NULL,I
404624,NT,I
404630,VU,I
404565,EN,I
419415,NT,I
419416,VU,I
417808,EN,I
430488,NULL,I
421135,LC,I
421046,LC,I
ac2014:11933019,VU,I
380528,LC,I|II
418026,NULL,I|II
416107,LC,I|II
417693,NULL,I|II
202073,NULL,II
201927,NULL,II
201912,NULL,II
202048,NULL,II
201908,NULL,II
201998,EN,II
202016,NULL,II
201934,EN,II
201119,NULL,II
202014,NULL,II
202007,NULL,II
201902,NULL,II
202066,NULL,II
202035,LC,II
202033,NULL,II
202057,NULL,II
201939,NULL,II
201966,NULL,II
201915,NULL,II
201997,VU,II
201963,NULL,II
202028,NULL,II
201983,NULL,II
201949,NULL,II
201985,NULL,II
202018,NULL,II
202061,NULL,II
201956,NULL,II
202047,NULL,II
201945,NULL,II
202043,NULL,II
202053,NULL,II
202005,NULL,II
201921,NULL,II
201916,NULL,II
202003,NULL,II
201897,NULL,II
202012,NULL,II
201957,NULL,II
202065,NULL,II
201964,NULL,II
202041,EN,II
202058,NULL,II
201944,NULL,II
201920,NULL,II
201935,NULL,II
201950,NULL,II
202079,NULL,II
201969,NULL,II
202009,NULL,II
201937,EN,II
201988,NULL,II
202019,NULL,II
201928,NULL,II
201907,NULL,II
201996,NULL,II
202038,NULL,II
201923,NULL,II
201900,NULL,II
201987,NULL,II
202078,NULL,II
201982,NULL,II
201981,NULL,II
202055,NULL,II
202077,NULL,II
201955,NULL,II
202040,NULL,II
201911,NULL,II
201941,NULL,II
202064,NULL,II
201954,NULL,II
202008,NULL,II
201978,NULL,II
201965,NULL,II
201953,NULL,II
201918,NULL,II
201951,NULL,II
202071,NULL,II
201975,NULL,II
201972,NULL,II
201943,NULL,II
201898,NULL,II
201952,NULL,II
201936,NULL,II
201970,NULL,II
202068,NULL,II
201929,NULL,II
201984,NULL,II
202060,NULL,II
202011,NULL,II
202015,NULL,II
201986,NULL,II
201974,NULL,II
202020,NULL,II
202063,NULL,II
201947,NULL,II
201948,NULL,II
202025,NULL,II
201979,NULL,II
201932,NULL,II
202046,NULL,II
201925,NULL,II
201922,NULL,II
202062,NULL,II
201092,EN,II
202080,NULL,II
201938,NULL,II
202031,NULL,II
202067,NULL,II
202000,NULL,II
201926,NULL,II
201959,NULL,II
201967,NULL,II
201946,NULL,II
202004,NULL,II
202056,NULL,II
201993,NULL,II
201913,NULL,II
201992,NULL,II
201910,NULL,II
202059,VU,II
201973,NULL,II
202052,NULL,II
202026,NULL,II
202042,NULL,II
201903,NULL,II
201989,NULL,II
201933,NULL,II
201930,NULL,II
202148,NULL,II
202193,NULL,II
202178,NULL,II
202149,NULL,II
202203,NULL,II
202230,NULL,II
202209,NULL,II
202176,NULL,II
202185,NULL,II
202138,NULL,II
202175,NULL,II
202085,NULL,II
202186,NULL,II
202172,NULL,II
202224,NULL,II
202119,NULL,II
202195,NULL,II
202086,NULL,II
202169,NULL,II
202229,NULL,II
202101,NULL,II
202096,NULL,II
202181,NULL,II
202210,NULL,II
202161,NULL,II
202115,NULL,II
202239,NULL,II
202100,NULL,II
202097,NULL,II
202192,NULL,II
202179,NULL,II
202183,NULL,II
202158,NULL,II
202227,NULL,II
202087,NULL,II
202204,NULL,II
202151,NULL,II
202109,NULL,II
202250,LC,II
202103,NULL,II
202194,NULL,II
202167,NULL,II
202089,NULL,II
202241,NULL,II
202205,NULL,II
202189,NULL,II
202093,NULL,II
202187,NULL,II
202168,NULL,II
202234,NULL,II
202114,NULL,II
202147,NULL,II
202182,NULL,II
202196,NULL,II
202238,NULL,II
202219,NULL,II
202153,NULL,II
202104,NULL,II
202090,NULL,II
202983,LC,II
202184,NULL,II
202173,NULL,II
202162,NULL,II
202106,NULL,II
202844,NULL,II
202247,NULL,II
202108,NULL,II
202235,NULL,II
202177,NULL,II
202157,NULL,II
202099,EN,II
202134,NULL,II
202155,NULL,II
202180,NULL,II
202111,NULL,II
202084,NULL,II
202237,NULL,II
202188,NULL,II
202226,NULL,II
202094,NULL,II
202243,NULL,II
202232,NULL,II
202214,NULL,II
202217,NULL,II
202171,NULL,II
202123,NULL,II
202215,NULL,II
202152,NULL,II
202207,LC,II
202146,NULL,II
202156,NULL,II
202154,NULL,II
202088,NULL,II
202206,NULL,II
202092,NULL,II
313004,LC,II
312886,LC,II
312985,LC,II
312911,LC,II
313037,LC,II
313041,VU,II
313026,LC,II
313025,LC,II
312983,LC,II
313005,LC,II
313021,LC,II
313035,LC,II
312915,LC,II
313011,LC,II
312995,NT,II
312990,NT,II
313024,LC,II
312891,NT,II
312956,LC,II
312924,LC,II
312959,LC,II
312996,NT,II
312869,VU,II
312926,LC,II
312917,VU,II
312945,LC,II
312944,VU,II
312927,LC,II
312906,VU,II
312980,LC,II
312888,NT,II
313000,NT,II
312879,LC,II
312989,NT,II
312928,LC,II
312881,LC,II
313010,NT,II
312910,LC,II
313042,LC,II
313020,LC,II
313012,NT,II
205674,NULL,II
312939,LC,II
312918,LC,II
312947,VU,II
312961,VU,II
313028,NT,II
312994,LC,II
313002,LC,II
312955,LC,II
312932,LC,II
313006,LC,II
312972,LC,II
312953,VU,II
312998,NT,II
313015,NT,II
312877,NT,II
312885,NULL,II
313033,LC,II
312954,LC,II
312964,VU,II
312875,NULL,II
312946,LC,II
313029,LC,II
313019,LC,II
312868,VU,II
312971,LC,II
312943,LC,II
312973,VU,II
312893,NT,II
205020,NULL,II
312986,LC,II
312999,NT,II
312940,LC,II
312993,NT,II
312914,LC,II
312899,LC,II
312948,NT,II
312889,VU,II
312884,NT,II
312920,NT,II
312942,LC,II
205113,NULL,II
205117,NULL,II
312919,LC,II
312901,VU,II
312960,VU,II
312982,LC,II
312902,LC,II
312887,VU,II
313008,LC,II
312925,NT,II
312870,NT,II
312933,LC,II
312883,NT,II
313022,LC,II
312941,LC,II
313009,LC,II
312904,LC,II
312934,NULL,II
313034,LC,II
312949,VU,II
312977,LC,II
312966,NT,II
312958,LC,II
312912,VU,II
312896,LC,II
312997,NT,II
312882,NT,II
312992,LC,II
312988,LC,II
313017,LC,II
312898,LC,II
312900,NT,II
312976,VU,II
312968,NULL,II
312921,NT,II
312981,LC,II
