taxonID,vernacularName
380712,鱸鰻
380882,黑翼文鰩魚
380805,硬骨篡
380819,日本軟腕魚
380740,節仔鰻
380737,尖嘴海鰻
380714,糯米鰻
380871,點背鬚唇飛魚
380772,糬鰻
380803,硬骨仔
380726,糯米鰻
380775,鞍斑裸胸鱔
380821,硬鱗
380803,艾氏蛇鰻
380744,苔斑勾吻鯙
380755,錢鰻
380729,海鰻
380805,硬骨仔
380793,麥氏鬚盲蛇鰻
402065,家蚊簇蟲
380816,合鰓鰻
380848,狗母梭
380850,褐狗母
380762,黃身裸胸鯙
380838,水狗母
380798,硬骨篡
380783,長鯙
380804,硬骨篡
380875,飛烏
380763,白口裸胸鯙
380730,沙鰻
380754,花點仔
380847,革狗母
312441,雙峰曳尾蛛
380758,薯鰻
380793,硬骨篡
380726,海鰻
380795,裸身蠕蛇鰻
380755,花鰭裸胸鯙
380783,竹竿鰻
380791,硬骨仔
380725,臭腥鰻
380810,合鰓鰻
380853,叉斑狗母魚
380749,班第氏裸胸鯙
312364,玉葉金花佛州節蜱
380753,薯鰻
380809,鰻
380724,海鰻
380860,白天青旗
380765,錢鰻
380710,二色鰻
380763,糬鰻
380863,尾斑圓尾鶴鱵
380742,錢鰻
380754,錢鰻
380877,寡鱗飛魚
380886,飛烏
380871,紫斑鰭飛魚
380727,沙鰻
380784,巨鰭尾鯙
312393,鹽膚木皺葉刺節蜱
380724,日本園鰻
380727,臭腥鰻
380760,薯鰻
380750,伯恩斯裸胸鱔
380820,紫辮魚
380812,合鰓鰻
380839,粉粘
312600,異常黑條蠅虎
380812,高氏前肛鰻
380861,尖嘴圓尾鶴鱵
380759,薯鰻
380755,繸斑裸胸鯙
380806,錦蛇鰻
380807,硬骨篡
380779,錢鰻
380714,臭腥鰻
380825,吳氏下銀漢魚
380801,硬骨仔
380862,青旗
380801,硬骨篡
380790,硬骨篡
380774,異紋裸胸鱔
380859,白天青旗
380751,錢鰻
380745,豹紋勾吻鱔
380820,軟腕魚
380870,青翼鬚唇飛魚
380878,花鰭燕鰩魚
380736,灰海鰻
380864,黑背圓頜針魚
380715,擬錐體康吉鰻
380885,小烏
316851,鐮狀臂尾輪蟲
380887,水針
380726,園鰻
380724,糯米鰻
380810,前肛鰻
380784,大頭尾鱔
380764,虎鰻
380784,大頭尾鯙
380787,絲仔鰻
380712,花鰻鱺
380837,日本光鱗魚
380808,波路荳齒蛇鰻
380808,雜食豆齒鰻
380840,細鱗狗母
380821,南洋銀漢魚
380856,花斑狗母魚
380735,虎鰻
380846,雙斑狗母
380848,道氏狗母
380807,裙鰭蛇鰻
380865,圓學
380817,寄生鰻
380793,硬骨仔
380750,虎鰻
380739,虎鰻
380747,斑馬裸鯙
380776,錢鰻
380777,青痣
380761,薯鰻
332628,灰帶黃裸瓢蟲
380768,薯鰻
380848,狗母
380742,黃點蛇鱔
343988,枯球籮紋蛾
380808,硬骨篡
316954,威爾森圍沙蠶
380768,錢鰻
380792,中國鬚蛇鰻
380726,哈氏異糯鰻
380779,虎鰻
380764,薯鰻
380708,竹篙鰱
380746,雞角仔鰻
380789,龍鰻
380858,米鱂
380815,後臀前肛鰻
380861,鶴鱵
380811,合鰓鰻
380767,錢鰻
380805,鰻仔
380721,海鰻
380851,狗母
380714,穴子鰻
380759,爪哇裸胸鱔
380850,褐狗母魚
380859,青痣
380852,斑尾狗母魚
380783,薯鰻
380737,尖嘴鰻
380865,青旗
380840,長體蛇鯔
380759,爪哇裸胸鯙
380727,海鰻
380746,咖啡色鰻
380889,南洋鱵
380754,糬鰻
380784,虎鰻
380742,薯鰻
332717,蘭嶼茄十二星瓢蟲
380743,比吉尼勾吻鯙
380794,半環蓋蛇鰻
380739,臺灣鬍鯙
312678,粉點姬蛛
380819,日本辮魚
380866,飛烏
332713,異色瓢蟲
380792,篡仔
380790,硬骨仔
380767,裸犁裸胸鱔
380782,虎斑鞭尾鯙
380865,鱷形圓頜針魚
332716,星點褐瓢蟲
380864,叉尾鶴鱵
380857,狗母梭
380744,薯鰻
380802,斑紋蛇鰻
380734,海鰻
380752,薯鰻
380730,海鰻
380734,臺灣絲尾海鰻
380752,虎鰻
380794,鰻仔
380782,虎斑長圓鯙
380860,寬尾鶴鱵
380719,銼吻淵油鰻(銼吻海康吉
380867,阿戈飛魚
380859,倒吊學
380874,白鰭鬚唇飛魚
380845,黑狗母
380731,海鰻
380829,仙女魚
380843,狗母梭
380788,硬骨仔
380721,穴子鰻
380873,蘇氏鬚唇飛魚
380745,虎鰻
380862,白天青旗
380771,硓[石古]鰻
380805,篡仔
380764,眼斑裸胸鱔
380729,糯米鰻
380821,南洋美銀漢魚
380826,浪花銀漢魚
380726,沙鰻
380782,糬鰻
380842,海狗母梭
380854,狗母
380874,飛烏
380865,白天青旗
380740,蠘仔鰻
380750,錢鰻
380800,頂蛇鰻
380860,東非寬尾頜針魚
381659,短黃黝魚
380726,哈氏異康吉鰻
380822,鱙仔
380746,裂吻勾吻鯙
380842,汕狗母
380790,鱷形短體蛇鰻
380788,克氏褐蛇鰻
380857,狗母
312631,臺灣長腳蛛
380771,虎鰻
380785,錢鰻
380874,白鰭飛魚
380776,薯鰻
380890,水針
380776,糬鰻
316856,臂尾輪蟲
380765,細花斑裸胸鱔
380731,尖尾鰻
380708,圓頜狐鰮
380765,虎鰻
380801,頸斑蛇鰻
380772,勻斑裸胸鱔
380723,繁星糯鰻
380833,北青眼魚
380766,虎鰻
380746,紡車索
380723,星康吉鰻
380776,密點裸胸鱔
380887,長吻鱵
380847,狗母
380775,糬鰻
395256,清道夫
380754,大點花
380774,虎鰻
312360,巴梨節蜱
380771,密網裸胸鱔
380883,尖鰭文鰩魚
380883,飛烏
380803,篡仔
380745,雞角仔鰻
380866,阿氏鬚唇飛魚
380788,鰻仔
380760,蠕紋裸胸鯙
380787,線尾蜥鰻
380763,錢鰻
380868,弓頭飛魚
380777,波紋裸胸鯙
380840,狗母梭
380717,穴子鰻
380722,穴子鰻
380809,食蟹荳齒蛇鰻
380737,細頜鰻
380756,硓[石古]鰻
380738,褐裸臀鯙
380771,薯鰻
380758,虎鰻
380814,黑尾前肛鰻
380794,硬骨仔
395325,玻璃魚
316846,萼花臂尾輪蟲
380747,虎鰻
316901,圓筒異尾輪蟲
380763,硓[石古]鰻
310578,腹突擬寬水蚤
380867,飛烏
380748,白緣裸胸鯙
380781,海龍
380802,鰻仔
380820,紫軟腕魚
380836,光鱗魚
380805,多斑蛇鰻(眼斑蛇鰻)
380867,阿戈鬚唇飛魚
380804,大鰭蛇鰻
380717,臭腥鰻
380808,篡仔
380747,錢鰻
380740,錢鰻
380870,飛烏
380762,黃體裸胸鱔
380749,糬鰻
380842,細蛇鯔
380881,飛烏
380825,伍氏下銀漢魚
380794,半環平蓋蛇鰻
380800,篡仔
380725,糯米鰻
380843,狗母
380736,海鰻
380721,灰康吉鰻
380839,那哥
380779,薯鰻
380851,被蓋狗母魚
380885,長頜擬飛魚
380722,沙鰻
380755,花鰻
348577,賈氏新石蠅
380851,肩蓋狗母
380829,臺灣姬魚
380781,大口管鼻鱔
380772,薯鰻
